ISLAND,OCEAN
Vanuatu,"Pacific Ocean"
"New Caledonia","Pacific Ocean"
"Papua New Guinea","Pacific Ocean"
Indonesia,"Pacific Ocean"
Tasmania,"Pacific Ocean"
"Cayman Islands","Atlantic Ocean"
Jamaica,"Atlantic Ocean"
Cuba,"Atlantic Ocean"
Haiti,"Atlantic Ocean"
"Puerto Rico","Atlantic Ocean"
"Dominican Republic","Atlantic Ocean"
"Dundas Island","Southern Ocean"
"Masked Island","Southern Ocean"
"Rose Island","Southern Ocean"
"Shoe Island","Southern Ocean"
"Yule Island","Southern Ocean"
Philippines,"Pacific Ocean"
Malaysia,"Pacific Ocean"
Taiwan,"Pacific Ocean"
Japan,"Pacific Ocean"
Sapporo,"Pacific Ocean"
Ireland,"Atlantic Ocean"
"United Kingdom","Atlantic Ocean"
"Isle of Man","Atlantic Ocean"
"Faroe Island","Atlantic Ocean"
Ibiza,"Atlantic Ocean"
Madagascar,"Indian Ocean"
Comoros,"Indian Ocean"
Mayotte,"Indian Ocean"
Reunion,"Indian Ocean"
Mauritus,"Indian Ocean"
